agency_id,agency_name,services_offered,affiliated_clients,operating_regions,travel_partners,contact_email,phone_number,website
16,Liga MX Soccer Journeys,"Club team logistics, Youth development tours, Mexican soccer scouting","Liga MX clubs, Soccer agents, Academy teams","Mexico, USA, Central America","Hotels, Airlines, Stadium operators",info@ligamxsoccer.com,+52 55 6789 4321,https://www.ligamxsoccer.com
17,CAF Champions League Travel,"CAF club tournament travel, Club sponsorship travel, Team accommodations","CAF clubs, Football federations, Media partners","Africa, Middle East, Europe","Luxury hotels, Airlines, League organizers",info@cafchampionstravel.com,+234 81 4321 6789,https://www.cafchampionstravel.com
18,Asian Football Club Travel,"AFC club travel, Asia Cup logistics, Youth tournament travel","Asian clubs, AFC federations, League officials","Asia, Middle East, Australia","Hotels, Airlines, Training camps",info@afcfootballtravel.com,+60 3 5432 1098,https://www.afcfootballtravel.com
19,Global Scouting Travel,"International player scouting trips, Youth academy placements, Soccer agent travel","Soccer agents, Scouts, Young players","Europe, Africa, South America","Soccer academies, Hotels, Airlines",info@globalscoutingtravel.com,+351 21 6543 987,https://www.globalscoutingtravel.com
20,Soccer Business Elite Travel,"Corporate sponsorship travel, VIP luxury soccer experiences, Player transfer logistics","Club owners, Corporate sponsors, Player agents","Europe, Middle East, North America","Luxury hotels, Private jets, Event organizers",info@soccerbusinesstravel.com,+971 4 5432 9876,https://www.soccerbusinesstravel.com
21,UEFA Team Logistics,"UEFA club travel logistics, Champions League team travel, Pre-season camps","UEFA clubs, National teams, Soccer federations","Europe, Africa, Middle East","Luxury hotels, Airlines, Stadium operators",info@uefateamlogistics.com,+41 22 9876 5432,https://www.uefateamlogistics.com
22,CONMEBOL Soccer Tours,"Copa Libertadores travel, South American club team logistics, Fan travel packages","CONMEBOL clubs, National teams, Soccer fans","South America, Europe, USA","Hotels, Airlines, VIP event organizers",info@conmebolsoccertours.com,+55 11 7654 3210,https://www.conmebolsoccertours.com
23,Soccer Expo Travel,"Soccer industry events travel, FIFA congress logistics, Sports media travel","Club executives, FIFA officials, Sports journalists",Worldwide,"Airlines, Hotels, Event organizers",info@soccerexpotravel.com,+1 212 5432 1098,https://www.soccerexpotravel.com
24,Africa Youth Academy Travel,"Youth tournaments travel, Scouting trips, Academy exchange programs","African soccer academies, Scouting networks, Player agents","Africa, Europe, Middle East","Soccer academies, Hotels, Airlines",info@africayouthtravel.com,+234 80 7654 3210,https://www.africayouthtravel.com
25,World Soccer Coaching Travel,"Coaching courses travel, UEFA license programs, FIFA training events","Coaches, Soccer schools, National team staff","Europe, USA, Asia","Training centers, Hotels, Airlines",info@worldcoachingtravel.com,+44 20 9876 5432,https://www.worldcoachingtravel.com
26,La Masia Academy Tours,"Barcelona youth team exchange, Elite soccer development travel, Pre-season tournaments","Youth soccer academies, LaLiga clubs, Training centers","Spain, Europe, South America","Hotels, Airlines, Soccer academies",info@lamasiatours.com,+34 91 7654 3210,https://www.lamasiatours.com
27,World Cup Player Relocation,"Player transfer logistics, Visa processing, Housing arrangements","Professional soccer players, Player agents, FIFA clubs",Worldwide,"Luxury apartments, Airlines, Immigration services",info@worldcuprelocation.com,+971 4 6543 2109,https://www.worldcuprelocation.com
28,London Football Club Travel,"Premier League team travel, Fan tours, Player scouting trips","Premier League clubs, Soccer academies, Fan groups","United Kingdom, Europe, Africa","Luxury hotels, Airlines, Training centers",info@londonclubtravel.com,+44 20 6543 9876,https://www.londonclubtravel.com
29,Japan Soccer Tours,"J.League club travel, Youth team pre-season trips, Scouting tournaments","Japanese soccer clubs, AFC teams, International scouts","Japan, Asia, Europe","Hotels, Airlines, Soccer federations",info@japansoccertours.com,+81 3 9876 5432,https://www.japansoccertours.com
30,Nike Soccer Travel,"Elite training camps, Sponsorship event travel, Player showcases","Nike-sponsored clubs, Youth academies, Soccer tournaments",Global,"Nike partner clubs, Hotels, Airlines",info@nikesoccertravel.com,+1 503 7654 3210,https://www.nikesoccertravel.com
31,Real Madrid Training Camps Travel,"Elite youth training camps, Pre-season team travel, LaLiga scouting tours","Real Madrid youth academy, International soccer schools, Scouts","Spain, Europe, Latin America","Hotels, Airlines, Soccer academies",info@realmadridtraining.com,+34 91 1234 5678,https://www.realmadridtraining.com
32,Manchester United Soccer Tours,"Premier League club travel, Youth development programs, Fan packages","Manchester United FC, Youth academies, Fan groups","United Kingdom, Europe, Africa","Hotels, Airlines, Training centers",info@manutdsoccertours.com,+44 161 9876 5432,https://www.manutdsoccertours.com
33,Bayern Munich Soccer Experience,"Bundesliga club logistics, Scouting trips, UEFA tournament travel","Bayern Munich FC, German clubs, Soccer scouts","Germany, Europe, USA","Luxury hotels, Airlines, Stadium organizers",info@bayernmunichtravel.com,+49 89 6543 2109,https://www.bayernmunichtravel.com
34,Arsenal International Tours,"Pre-season club travel, Academy scouting trips, Arsenal fan travel","Arsenal FC, Youth academies, Premier League clubs","United Kingdom, Africa, Europe","Hotels, Airlines, Soccer training centers",info@arsenalinternational.com,+44 20 7654 3210,https://www.arsenalinternational.com
35,PSG Global Soccer Tours,"French club team travel, Paris Saint-Germain youth camps, UEFA travel logistics","Paris Saint-Germain FC, Ligue 1 clubs, Football federations","France, Europe, Middle East","Luxury hotels, Airlines, Training facilities",info@psgsoccertours.com,+33 1 5432 1098,https://www.psgsoccertours.com
36,Barcelona Football Travel,"LaLiga team logistics, Elite youth training programs, VIP soccer events","FC Barcelona, Youth academies, Soccer scouts","Spain, Latin America, USA","Hotels, Airlines, Soccer academies",info@barcelonafootballtravel.com,+34 93 9876 5432,https://www.barcelonafootballtravel.com
37,Ajax Academy Travel,"Eredivisie team travel, Youth soccer development, International scouting trips","Ajax Amsterdam, Dutch clubs, Soccer federations","Netherlands, Europe, Africa","Hotels, Airlines, Training centers",info@ajaxacademytravel.com,+31 20 7654 3210,https://www.ajaxacademytravel.com
38,South American Talent Scout Travel,"Youth scouting trips, Copa Libertadores club travel, Player relocation services","South American clubs, Player agents, Soccer scouts","Brazil, Argentina, Uruguay","Hotels, Airlines, Soccer training centers",info@southamericatalenttravel.com,+55 21 9876 5432,https://www.southamericatalenttravel.com
39,Middle East Pro Soccer Travel,"Arab Club Champions Cup travel, Middle East league logistics, Player transfers","Middle Eastern clubs, National federations, League organizers","UAE, Qatar, Saudi Arabia","Luxury hotels, Airlines, Soccer academies",info@meprosoccertravel.com,+971 4 6543 2109,https://www.meprosoccertravel.com
40,Women’s Soccer World Travel,"Women’s World Cup travel, International women’s leagues team logistics, Player scouting tours","Women’s soccer clubs, National women’s teams, FIFA officials",Global,"Hotels, Airlines, Soccer federations",info@womenssoccertravel.com,+1 503 8765 4321,https://www.womenssoccertravel.com
41,Africa Rising Soccer Travel,"Club travel for African leagues, Youth development programs, Talent scouting","CAF clubs, National teams, Scouting agencies","Africa, Europe, Middle East","Hotels, Airlines, Soccer training centers",info@africarisingsoccer.com,+234 80 7654 3210,https://www.africarisingsoccer.com
42,Portugal Football Academy Travel,"Youth soccer camps, Portuguese league club travel, Talent scouting","Liga Portugal clubs, Youth academies, Player agents","Portugal, Europe, Brazil","Hotels, Airlines, Soccer schools",info@portugalsoccertravel.com,+351 21 9876 5432,https://www.portugalsoccertravel.com
43,China Super League Travel,"Chinese club logistics, International pre-season camps, Player transfers","Chinese Super League teams, Scouting agencies, Player agents","China, Asia, Europe","Hotels, Airlines, Soccer training facilities",info@chinasuperleaguetravel.com,+86 10 6543 2109,https://www.chinasuperleaguetravel.com
44,USA College Soccer Travel,"NCAA soccer recruitment tours, College showcase travel, Student-athlete relocation","College soccer players, NCAA teams, Scouting organizations","USA, Canada, Europe","University campuses, Hotels, Airlines",info@usasoccertravel.com,+1 212 8765 4321,https://www.usasoccertravel.com
45,Australia Soccer Pro Tours,"A-League club travel, Soccer scouting trips, Oceania tournament logistics","A-League clubs, National teams, Player agents","Australia, New Zealand, Asia","Hotels, Airlines, Soccer academies",info@australiasoccertours.com,+61 3 6543 2109,https://www.australiasoccertours.com
46,Scandinavian Soccer Elite Travel,"Nordic league club travel, Scouting tours, Player relocation services","Swedish, Norwegian, Danish clubs, Talent scouts, Player agents","Sweden, Norway, Denmark, Europe","Hotels, Airlines, Soccer academies",info@scandisoccertravel.com,+46 8 7654 3210,https://www.scandisoccertravel.com
47,Mexico Soccer Training Tours,"Liga MX youth camps, Club team travel, Scouting programs","Liga MX clubs, Youth academies, Scouting agencies","Mexico, USA, South America","Hotels, Airlines, Soccer training centers",info@mexicosoccertraining.com,+52 55 8765 4321,https://www.mexicosoccertraining.com
48,Brazilian Soccer Experience,"Brazilian league club travel, Copa Libertadores logistics, Talent scouting","Brazilian clubs, National teams, Player scouts","Brazil, South America, Europe","Hotels, Airlines, Soccer academies",info@brazilsoccerexperience.com,+55 21 9876 4321,https://www.brazilsoccerexperience.com
49,Argentina Pro Soccer Tours,"Argentine club travel, Youth soccer scouting, Copa Sudamericana logistics","Argentine Primera clubs, National teams, FIFA agents","Argentina, South America, Europe","Hotels, Airlines, Soccer training centers",info@argentinaprosoccertours.com,+54 11 8765 4321,https://www.argentinaprosoccertours.com
50,FIFA Player Agent Travel,"Player transfers, Visa and work permits, FIFA agent travel","Soccer agents, FIFA-accredited scouts, Player relocation specialists",Global,"Luxury apartments, Airlines, Immigration services",info@fifaplayeragenttravel.com,+41 22 6543 2109,https://www.fifaplayeragenttravel.com
51,Qatar Elite Soccer Travel,"Club training camps, Middle East tournament logistics, FIFA World Cup travel","Qatar Stars League clubs, National teams, FIFA executives","Qatar, Middle East, Europe","Luxury hotels, Airlines, Stadium operators",info@qatarsoccertravel.com,+974 44 7654 321,https://www.qatarsoccertravel.com
52,Saudi Pro League Soccer Tours,"Club logistics, Saudi Super Cup travel, Player relocation services","Saudi Pro League clubs, Player agents, National teams","Saudi Arabia, Middle East, Europe","Luxury resorts, Private transport, Soccer academies",info@saudiprosoccer.com,+966 55 4321 987,https://www.saudiprosoccer.com
53,Morocco Soccer Academy Travel,"African youth soccer camps, Pre-season team training, Talent scouting","Moroccan Botola clubs, CAF teams, National youth academies","Morocco, North Africa, Europe","Hotels, Airlines, Soccer academies",info@moroccosocceracademy.com,+212 61 6543 210,https://www.moroccosocceracademy.com
54,Belgium Pro Football Tours,"Jupiler Pro League club logistics, Youth team development travel, Scouting trips","Belgian clubs, European scouts, Player agents","Belgium, Europe, Africa","Hotels, Airlines, Soccer training facilities",info@belgiumfootballtours.com,+32 2 7654 321,https://www.belgiumfootballtours.com
55,Nigeria Talent Scout Travel,"Scouting tours, Player agent transfers, Youth soccer team travel","Nigerian Professional Football League clubs, FIFA agents, European scouts","Nigeria, Africa, Europe","Hotels, Airlines, Soccer academies",info@nigeriatalentsoccer.com,+234 80 7654 321,https://www.nigeriatalentsoccer.com
56,Egyptian League Travel Solutions,"Egyptian Premier League club travel, CAF tournament logistics, Player scouting trips","Egyptian clubs, National team players, FIFA agents","Egypt, Africa, Europe","Hotels, Airlines, Training centers",info@egyptiansoccertravel.com,+20 2 7654 321,https://www.egyptiansoccertravel.com
57,Colombia Soccer Training Camps,"Colombian league pre-season camps, Youth soccer training, Copa America logistics","Colombian Primera A clubs, South American teams, Player scouts","Colombia, South America, Europe","Hotels, Airlines, Soccer academies",info@colombiasoccertraining.com,+57 1 6543 210,https://www.colombiasoccertraining.com
58,Turkey Super Lig Soccer Travel,"Turkish club team travel, Scouting programs, Player relocation services","Süper Lig clubs, National teams, Transfer market agents","Turkey, Europe, Middle East","Hotels, Airlines, Soccer facilities",info@turkeysuperligtravel.com,+90 212 7654 321,https://www.turkeysuperligtravel.com
59,Russia Premier League Soccer Tours,"Russian club logistics, Pre-season camps, Youth soccer development trips","Russian Premier League clubs, National teams, Youth academies","Russia, Europe, Asia","Hotels, Airlines, Training centers",info@russiasoccertours.com,+7 495 6543 210,https://www.russiasoccertours.com
60,Korea K-League Soccer Travel,"K-League team travel, Player scouting programs, Pre-season camps","Korean clubs, National teams, FIFA agents","South Korea, Asia, Europe","Hotels, Airlines, Soccer academies",info@koreasoccertravel.com,+82 2 7654 321,https://www.koreasoccertravel.com
61,Japan J-League Soccer Travel,"J-League team travel, Youth soccer tournaments, Player scouting programs","Japanese clubs, National teams, International scouts","Japan, Asia, Europe","Hotels, Airlines, Soccer training centers",info@jleaguesoccertravel.com,+81 3 8765 4321,https://www.jleaguesoccertravel.com
62,Chile Soccer Talent Travel,"Chile Primera División team logistics, Scouting programs, Copa Sudamericana travel","Chilean clubs, South American leagues, FIFA agents","Chile, South America, Europe","Hotels, Airlines, Training academies",info@chilesoccertravel.com,+56 2 9876 5432,https://www.chilesoccertravel.com
63,South Africa PSL Soccer Tours,"Premier Soccer League club logistics, Talent scouting, African Cup of Nations travel","South African PSL teams, CAF federations, European scouts","South Africa, Africa, Europe","Hotels, Airlines, Soccer facilities",info@southafricasoccertours.com,+27 11 6543 210,https://www.southafricasoccertours.com
64,Ukraine Premier League Soccer Travel,"Ukrainian club pre-season tours, Talent scouting, UEFA Europa League logistics","Ukrainian clubs, European teams, Player agents","Ukraine, Europe, Asia","Hotels, Airlines, Soccer training centers",info@ukrainesoccertravel.com,+380 44 7654 321,https://www.ukrainesoccertravel.com
65,Norway Eliteserien Soccer Travel,"Norwegian club team logistics, Scouting trips, Youth development tours","Norwegian clubs, European scouts, National federations","Norway, Europe, Africa","Hotels, Airlines, Soccer academies",info@norwaysoccertravel.com,+47 2 6543 210,https://www.norwaysoccertravel.com
66,Ghana Premier League Travel,"Ghanaian club travel, Youth soccer camps, Player recruitment travel","Ghana Premier League clubs, National academies, European scouts","Ghana, Africa, Europe","Hotels, Airlines, FIFA academies",info@ghanasoccertravel.com,+233 30 6543 210,https://www.ghanasoccertravel.com
67,Ecuador Soccer Pro Travel,"Ecuador Serie A team travel, Copa Libertadores logistics, Talent scouting","Ecuadorian clubs, South American leagues, FIFA agents","Ecuador, South America, Spain","Hotels, Airlines, Training centers",info@ecuadorsoccerprotravel.com,+593 2 9876 5432,https://www.ecuadorsoccerprotravel.com
68,India Super League Travel,"ISL club travel, Youth soccer development programs, Player scouting logistics","Indian Super League teams, National team scouts, FIFA agents","India, Asia, Europe","Hotels, Airlines, Soccer academies",info@indiasoccertravel.com,+91 22 6543 3210,https://www.indiasoccertravel.com
69,Costa Rica Soccer Development Travel,"Costa Rica Primera División travel, Youth soccer tournaments, CONCACAF logistics","Costa Rican clubs, National teams, Scouting agencies","Costa Rica, Central America, USA","Hotels, Airlines, Training facilities",info@costaricasoccertravel.com,+506 2 6543 321,https://www.costaricasoccertravel.com
70,Serbia Super Liga Soccer Travel,"Serbian club logistics, Youth team development programs, UEFA qualifying tours","Serbian clubs, National federations, Player agents","Serbia, Europe, Africa","Hotels, Airlines, Training centers",info@serbiasoccertravel.com,+381 11 6543 210,https://www.serbiasoccertravel.com
81,Côte d'Ivoire Ligue 1 Soccer Travel,"Ivorian club travel logistics, African player scouting, CAF Champions League travel","Ivorian Ligue 1 clubs, National teams, European scouts","Côte d'Ivoire, Africa, Europe","Hotels, Airlines, Soccer academies",info@civsoccertravel.com,+225 2 6543 987,https://www.civsoccertravel.com
82,Paraguay Soccer Development Tours,"Paraguayan Primera División team travel, Youth soccer tournaments, Copa Libertadores logistics","Paraguayan clubs, Scouting networks, FIFA agents","Paraguay, South America, Spain","Hotels, Airlines, Training academies",info@paraguaysoccertravel.com,+595 2 7654 321,https://www.paraguaysoccertravel.com
83,DR Congo Super League Travel,"Congolese club logistics, Youth development programs, CAF tournament travel","DR Congo clubs, CAF teams, FIFA scouts","Democratic Republic of Congo, Africa, Europe","Hotels, Airlines, Training academies",info@drcongosoccertravel.com,+243 2 7654 321,https://www.drcongosoccertravel.com
84,Thailand Thai League 1 Travel,"Thai League 1 team logistics, Youth scouting, International friendlies","Thai clubs, Asian federations, FIFA agents","Thailand, Asia, Australia","Hotels, Airlines, Soccer academies",info@thailandsoccertravel.com,+66 2 7654 321,https://www.thailandsoccertravel.com
85,Tunisia Ligue 1 Pro Soccer Travel,"Tunisian club team travel, Talent scouting, CAF Confederation Cup logistics","Tunisia Ligue 1 Pro clubs, African federations, Player agents","Tunisia, North Africa, Europe","Hotels, Airlines, Soccer facilities",info@tunisiafootballtravel.com,+216 2 6543 321,https://www.tunisiafootballtravel.com
86,Malaysia Super League Soccer Travel,"Malaysian club travel, Asian Cup logistics, Player scouting programs","Malaysia Super League teams, Scouting agencies, FIFA agents","Malaysia, Asia, Middle East","Hotels, Airlines, Training academies",info@malaysiasoccertravel.com,+60 3 7654 321,https://www.malaysiasoccertravel.com
87,Zimbabwe Premier Soccer League Travel,"Zimbabwean club team travel, Youth soccer tournaments, CAF Confederation Cup logistics","Zimbabwean Premier League teams, African federations, FIFA scouts","Zimbabwe, Africa, Europe","Hotels, Airlines, Soccer training academies",info@zimbabwesoccertravel.com,+263 2 7654 321,https://www.zimbabwesoccertravel.com
88,Bolivian Primera División Soccer Travel,"Bolivian club logistics, Copa Sudamericana travel, Youth talent scouting","Bolivian clubs, National federations, Scouting networks","Bolivia, South America, Spain","Hotels, Airlines, Training academies",info@boliviasoccertravel.com,+591 2 6543 321,https://www.boliviasoccertravel.com
89,Kuwait Premier League Soccer Travel,"Kuwaiti club logistics, Player relocation programs, AFC Champions League travel","Kuwait Premier League clubs, National teams, FIFA scouts","Kuwait, Middle East, Europe","Hotels, Airlines, Soccer training academies",info@kuwaitsoccertravel.com,+965 2 7654 321,https://www.kuwaitsoccertravel.com
90,Jordan Pro League Soccer Travel,"Jordanian club travel, AFC Cup logistics, Scouting trips","Jordan Pro League teams, Asian federations, Player agents","Jordan, Middle East, Asia","Hotels, Airlines, Soccer training centers",info@jordansoccertravel.com,+962 2 6543 321,https://www.jordansoccertravel.com
91,Gabon Professional League Travel,"Gabonese club logistics, Talent scouting programs, CAF Champions League travel","Gabonese Ligue 1 clubs, African federations, European scouts","Gabon, Africa, Europe","Hotels, Airlines, Training centers",info@gabonsoccertravel.com,+241 2 7654 321,https://www.gabonsoccertravel.com
92,Madagascar THB Champions League Travel,"Madagascar club logistics, Youth player scouting, CAF tournament travel","Malagasy Ligue 1 clubs, National teams, FIFA scouts","Madagascar, Africa, Europe","Hotels, Airlines, Soccer training academies",info@madagascarsoccertravel.com,+261 2 6543 987,https://www.madagascarsoccertravel.com
93,Sudan Premier League Soccer Travel,"Sudanese club logistics, Youth soccer tournaments, CAF Confederation Cup travel","Sudanese Premier League clubs, African federations, FIFA scouts","Sudan, Africa, Europe","Hotels, Airlines, Soccer training academies",info@sudansoccertravel.com,+249 2 6543 321,https://www.sudansoccertravel.com
94,New Zealand Football Travel,"New Zealand club travel, OFC Champions League logistics, Youth development programs","New Zealand Football League clubs, OFC teams, FIFA scouts","New Zealand, Australia, Pacific Islands","Hotels, Airlines, Training academies",info@newzealandsoccertravel.com,+64 4 7654 321,https://www.newzealandsoccertravel.com
95,Ethiopia Premier League Soccer Travel,"Ethiopian club team travel, Youth soccer scouting, CAF tournament logistics","Ethiopian Premier League clubs, National teams, African federations","Ethiopia, Africa, Europe","Hotels, Airlines, Soccer training centers",info@ethiopiasoccertravel.com,+251 2 6543 321,https://www.ethiopiasoccertravel.com
96,Pakistan Premier League Soccer Travel,"Pakistan club logistics, Player scouting programs, International friendly match travel","Pakistan Premier League clubs, Asian federations, FIFA agents","Pakistan, Asia, Middle East","Hotels, Airlines, Training centers",info@pakistansoccertravel.com,+92 2 6543 321,https://www.pakistansoccertravel.com
97,Angola Girabola League Travel,"Angolan club team travel, Talent scouting, CAF tournament logistics","Girabola clubs, African federations, European scouts","Angola, Africa, Europe","Hotels, Airlines, Soccer training centers",info@angolasoccertravel.com,+244 2 6543 321,https://www.angolasoccertravel.com
98,Bahrain Premier League Soccer Travel,"Bahraini club logistics, AFC Cup travel, Player scouting programs","Bahrain Premier League clubs, National federations, FIFA agents","Bahrain, Middle East, Asia","Hotels, Airlines, Training academies",info@bahrainsoccertravel.com,+973 2 6543 321,https://www.bahrainsoccertravel.com
99,Mozambique Moçambola Soccer Travel,"Mozambican club logistics, Youth soccer scouting, CAF tournament travel","Mozambola clubs, African federations, FIFA scouts","Mozambique, Africa, Europe","Hotels, Airlines, Soccer training academies",info@mozambiquesoccertravel.com,+258 2 6543 321,https://www.mozambiquesoccertravel.com
100,Philippines PFL Soccer Travel,"Philippines Football League club travel, International tournaments, Player scouting","PFL clubs, Asian federations, FIFA scouts","Philippines, Asia, Australia","Hotels, Airlines, Soccer training academies",info@philippinessoccertravel.com,+63 2 6543 321,https://www.philippinessoccertravel.com
101,Tanzania Premier League Soccer Travel,"Tanzanian club team travel, Youth soccer scouting, CAF Confederation Cup logistics","Tanzania Premier League clubs, African federations, FIFA scouts","Tanzania, Africa, Europe","Hotels, Airlines, Soccer training academies",info@tanzaniasoccertravel.com,+255 2 6543 321,https://www.tanzaniasoccertravel.com
102,Uganda Premier League Soccer Travel,"Ugandan club logistics, Youth soccer development, CAF tournament travel","Uganda Premier League clubs, National teams, Scouting agencies","Uganda, Africa, Europe","Hotels, Airlines, Soccer training academies",info@ugandasoccertravel.com,+256 2 6543 321,https://www.ugandasoccertravel.com
103,Malawi Super League Soccer Travel,"Malawian club travel, Youth talent scouting, International friendly match logistics","Malawi Super League clubs, African federations, FIFA scouts","Malawi, Africa, Europe","Hotels, Airlines, Training centers",info@malawisoccertravel.com,+265 2 6543 321,https://www.malawisoccertravel.com
104,Burundi Premier League Travel,"Burundian club logistics, Player scouting, CAF Champions League travel","Burundi Premier League clubs, National federations, FIFA agents","Burundi, Africa, Europe","Hotels, Airlines, Soccer academies",info@burundisoccertravel.com,+257 2 6543 321,https://www.burundisoccertravel.com
105,Botswana Premier League Travel,"Botswana club team logistics, Youth soccer scouting, CAF Confederation Cup logistics","Botswana Premier League clubs, African federations, European scouts","Botswana, Africa, Europe","Hotels, Airlines, Training centers",info@botswanasoccertravel.com,+267 2 6543 321,https://www.botswanasoccertravel.com
106,Rwanda Premier League Soccer Travel,"Rwandan club logistics, Youth soccer scouting, CAF Confederation Cup logistics","Rwandan Premier League clubs, National federations, FIFA scouts","Rwanda, Africa, Europe","Hotels, Airlines, Soccer training academies",info@rwandasoccertravel.com,+250 2 6543 321,https://www.rwandasoccertravel.com
107,Haiti National Soccer Travel,"Haitian club logistics, Concacaf Champions League travel, Player scouting programs","Haitian clubs, National teams, Concacaf federations","Haiti, Caribbean, North America","Hotels, Airlines, Soccer training academies",info@haitisoccertravel.com,+509 2 6543 321,https://www.haitisoccertravel.com
108,Panama Liga Panameña Travel,"Panamanian club team travel, Concacaf tournament logistics, Talent scouting","Panamanian clubs, Concacaf federations, FIFA scouts","Panama, Central America, North America","Hotels, Airlines, Soccer training academies",info@panamasoccertravel.com,+507 2 6543 321,https://www.panamasoccertravel.com
109,Fiji National Soccer Travel,"Fijian club travel, OFC Champions League logistics, Youth development programs","Fiji Premier League clubs, OFC teams, FIFA scouts","Fiji, Oceania, Australia","Hotels, Airlines, Soccer training academies",info@fijisoccertravel.com,+679 2 6543 321,https://www.fijisoccertravel.com
110,Namibia Premier League Travel,"Namibian club logistics, Player scouting, CAF Confederation Cup logistics","Namibia Premier League clubs, African federations, FIFA agents","Namibia, Africa, Europe","Hotels, Airlines, Soccer training centers",info@namibiasoccertravel.com,+264 2 6543 321,https://www.namibiasoccertravel.com
111,Somalia Premier League Soccer Travel,"Somali club logistics, Talent scouting programs, CAF Champions League travel","Somalia Premier League clubs, African federations, European scouts","Somalia, Africa, Middle East","Hotels, Airlines, Training centers",info@somaliasoccertravel.com,+252 2 6543 321,https://www.somaliasoccertravel.com
112,Liberia Premier League Soccer Travel,"Liberian club logistics, Youth soccer scouting, CAF Confederation Cup logistics","Liberian Premier League clubs, National federations, FIFA scouts","Liberia, Africa, Europe","Hotels, Airlines, Soccer training academies",info@liberiasoccertravel.com,+231 2 6543 321,https://www.liberiasoccertravel.com
