club_name,club_tier,international_exposure,league_strength,league_exposure,club_reputation_notes
Bendel Insurance,Tier 1,Medium,3.2,Medium,Historic Nigerian club with recent rise and national cup wins
Benfica Luanda,Tier 1,Medium,3.0,Medium,Angolan top-tier club affiliated with SL Benfica; past CAF appearances
Beni-Khalled,Tier 2,None,2.0,Low,Tunisian second-division team with past Ligue 1 appearances
Berekum Arsenal,Tier 2,Low,2.2,Low,"Ghanaian club with history in top flight, now playing in lower divisions"
Berekum Chelsea FC,Tier 1,Medium,3.0,Medium,Ghana Premier League champions in 2011; participated in CAF Champions League
Bibiani Gold Stars F.C.,Tier 1,Low,2.8,Medium,Ghanaian club with recent promotion to Premier League and competitive rise
Bidvest Wits,Tier 1,High,4.0,High,Historic South African club; won PSL title in 2016–17; sold its license in 2020
Black Leopards,Tier 1,Low,2.8,Medium,South African club with PSL experience; yo-yo between top and second tier
Black Mambas,Tier 2,None,2.0,Low,Zimbabwean club with law enforcement affiliation; limited exposure
Black Rhinos,Tier 1,Low,2.8,Medium,Zimbabwe Premier League club with a history of disciplined play and army ties
Bloemfontein Celtic,Tier 1,Medium,3.5,High,Well-supported South African club; license sold to Royal AM in 2021
Botafogo FC,Tier 2,None,2.0,Low,"Name used by multiple local clubs (e.g. Nigeria, Angola); usually lower-tier"
Bouake FC,Tier 1,Low,2.8,Medium,Ivorian Ligue 1 club; stable mid-table team
Brong Ahafo Stars,Tier 2,None,2.0,Low,Ghanaian second-tier team; former Premier League participant
Buffaloes FC,Tier 1,Low,2.5,Low,Zimbabwean club with army links; sporadic Premier League performances
Buildcon,Tier 1,Medium,3.0,Medium,Zambian Super League club; known for hiring foreign players and coaches
Bukola Babes,Tier 2,Low,2.2,Low,Nigerian club now known as ABS FC; known for youth development
Bulawayo Chiefs,Tier 1,Low,2.8,Medium,Zimbabwean Premier League club known for witty social media presence
Bulawayo City FC,Tier 1,None,2.5,Low,Municipal club from Zimbabwe with occasional Premier League presence
C.D. Lunda Sul,Tier 1,Low,2.8,Low,Angolan club from Lunda Sul province; rising presence in Girabola
CA Batna,Tier 2,None,2.2,Low,Algerian club with historical Ligue 1 experience
CA Bizertin,Tier 1,Medium,3.2,Medium,Tunisian top-flight club; winner of CAF Cup in 1988
CA Bordj Bou Arreridj,Tier 2,Low,2.5,Low,Algerian club with fluctuating presence between top two divisions
Cabinda,Tier 1,Low,2.8,Low,May refer to Sporting Cabinda or other local teams in Angola’s Girabola
Caiman Douala,Tier 2,None,2.2,Low,Cameroonian lower-tier club; based in football-rich Douala
Canon Sportif,Tier 1,High,3.8,Medium-High,One of Cameroon’s most successful clubs; multiple CAF titles
Cape Town City FC,Tier 1,Medium,3.8,High,South African Premier Division club; reformed in 2016 with strong domestic performance
CAPS United,Tier 1,High,3.5,Medium,Top Zimbabwean club; multiple league titles and CAF Champions League appearances
CAS de Sevare,Tier 2,None,2.0,Low,Malian regional team with limited competitive record
Centre Salif Keita,Tier 2,Low,2.5,Low,Malian academy club founded by Salif Keita; known for talent production
Ceramica Cleopatra,Tier 1,Low,3.0,Medium,Emerging Egyptian Premier League team with corporate backing
Chabab Atlas Khenifra,Tier 2,None,2.2,Low,Moroccan club with limited exposure and occasional top-tier appearances
Chabab Rif Al Hoceima,Tier 1,Low,2.8,Medium,Moroccan club formerly in Botola Pro; now less active competitively
Chambishi FC,Tier 1,None,2.8,Low,Zambian Super League club with mid-table profile
Chapungu United,Tier 1,Low,2.5,Low,Zimbabwean Air Force club; relegated and promoted multiple times
Chicken Inn FC,Tier 1,Medium,3.0,Medium,Top Zimbabwean club; Premier League champions in 2015
Chippa United,Tier 1,Low,3.0,High,South African Premier Division club known for instability in coaching staff but strong visibility
Chiredzi FC,Tier 2,None,2.0,Low,Zimbabwean lower-tier club; formerly in Premier League but currently inactive
Club Africain,Tier 1,Very High,4.5,High,One of Tunisia’s most iconic clubs; CAF Champions League winner in 1991
Club Olympique de Medenine,Tier 2,None,2.2,Low,Tunisian club with occasional top-flight appearances
Club Omnisports de Korhogo (CIV),Tier 2,None,2.0,Low,Ivorian regional club with little national presence
CO Bouafle,Tier 2,None,2.2,Low,Ivorian team with minor domestic impact
CODM Meknes,Tier 2,Low,2.5,Medium,Historic Moroccan club; past Botola champion now in second division
Colombe du Dja et Lobo,Tier 1,Low,2.8,Medium,Cameroonian Elite One team with growing reputation
Cosmos de Bafia,Tier 2,None,2.0,Low,Cameroonian club relegated from Elite One in recent years
Coton Sport,Tier 1,Very High,4.2,High,Top Cameroonian club; consistent CAF Champions League performer
CR Belouizdad,Tier 1,High,4.0,High,Top Algerian club with recent league dominance and regular CAF Champions League appearances
Cranborne Bullets FC,Tier 1,None,2.5,Low,Zimbabwean Premier League team; relatively new to top-flight football
Crown FC,Tier 2,None,2.0,Low,Nigerian club with brief top-tier spell; currently in second division
CS Constantine,Tier 1,High,3.8,High,Historic Algerian club; national champion and frequent CAF competitor
CS Hammam-Lif,Tier 2,Low,2.5,Medium,Tunisian club with historical top-flight presence and multiple cup titles
CS Sfaxien,Tier 1,Very High,4.5,High,One of Tunisia’s most successful clubs; multiple CAF Confederation Cup titles
Dan Kassawa,Tier 1,Low,2.5,Low,Nigerien club with domestic top-tier participation
Debo Club,Tier 2,None,2.0,Low,Malian lower-division club with minimal exposure
Delta Force FC,Tier 2,None,2.0,Low,Nigerian club briefly promoted to NPFL; currently inactive
Denguele Sport,Tier 1,Low,2.8,Medium,Ivorian Ligue 1 team with modest CAF appearances
Desportivo Da Huila,Tier 1,Low,2.8,Medium,Angolan Girabola club; stable top-flight presence
Diaraf,Tier 1,High,3.5,Medium,Senegalese giants; multiple league titles and CAF appearances
Difaa El Jadida,Tier 1,High,3.5,High,Competitive Moroccan club; regular in Botola Pro and continental tournaments
Djoliba AC,Tier 1,High,3.8,Medium-High,Top Malian club with strong national and continental track record
Dolphins FC,Tier 1,Medium,3.2,Medium,Nigerian club merged into Rivers United; historic FA Cup winners
Domant FC,Tier 2,None,2.2,Low,Angolan team with past Girabola experience; currently less visible
Dongo,Tier 2,None,2.0,Low,Likely a local/regional club with little public data available
Douanes Niamey,Tier 1,Medium,3.0,Medium,Top club in Niger; regularly represents the country in CAF competitions
Douglas Warriors,Tier 2,None,2.0,Low,Zimbabwean second-tier club; limited competitive presence
Dragon de Yaounde,Tier 1,Medium,3.0,Medium,Historic Cameroonian club with domestic titles and strong fan base
DRB Tadjenanet,Tier 2,None,2.5,Low,Algerian club with brief top-flight run in the mid-2010s
Dreams FC,Tier 1,Medium,3.2,Medium,Ghanaian club known for youth development and current CAF Confederation Cup run
Duguwolofila,Tier 2,None,2.0,Low,Malian club with minimal visibility; occasional top-tier appearances
Dynamos,Tier 1,Very High,4.0,High,Zimbabwe’s most successful club; strong CAF history and local dominance
Eagles,Tier 2,None,2.0,Low,Club name used by several lower-tier teams; context-specific identity
Ebusua Dwarfs,Tier 1,Low,2.8,Medium,Historic Ghanaian club with strong local roots and a loyal fanbase
Eding Sport FC,Tier 1,Medium,3.0,Medium,Cameroonian club that won the league in 2016–17; rising domestic power
EFYM,Tier 2,None,2.2,Low,Ivorian club with a focus on education and training; lower-tier in Ligue 2
EGS Gafsa,Tier 1,Low,2.8,Medium,Tunisian club with recent top-flight return; consistent performer in Ligue 2
El Dakhleya,Tier 1,Low,2.8,Medium,Egyptian club with a police affiliation; in and out of the Premier League
El Entag El Harby,Tier 1,Low,3.0,Medium,Egyptian club owned by the Ministry of Military Production; fluctuates between divisions
El Geish,Tier 1,Medium,3.2,Medium,Also known as Tala'ea El Gaish SC; strong Egyptian side with military ties and recent cup success
El Gounah,Tier 1,Low,2.8,Medium,Egyptian Premier League club with modern facilities and coastal backing
El Kanemi Warriors,Tier 1,Low,3.0,Medium,Nigerian club based in Maiduguri; consistent NPFL team with strong home presence
El Mansura,Tier 2,None,2.2,Low,Egyptian second-division club with historical top-flight appearances
El Minya,Tier 2,None,2.2,Low,Egyptian club with limited success outside of regional leagues
El Nasr Tadeen,Tier 2,None,2.0,Low,Egyptian team with brief Premier League appearance in 2016–17
El Nsoor,Tier 2,None,2.0,Low,Sudanese lower-division team with little competitive history
El Raja,Tier 2,None,2.3,Low,Egyptian club from Marsa Matruh; known for brief top-flight spell in 2017–18
El Zamalek,Tier 1,Very High,5.0,Global,One of Africa’s elite clubs; multiple-time CAF and Egyptian Premier League champions
El-Sharkia Lel Dokhan (Eastern Company SC),Tier 1,Low,2.8,Medium,Egyptian club with tobacco industry backing; recent promotion to Premier League
Eleven Wise,Tier 2,None,2.0,Low,Historic Ghanaian club from Sekondi; currently outside top flight
Eleven Wonders FC,Tier 1,None,2.8,Medium,Ghanaian Premier League club known for defensive style and underdog spirit
Elmina Sharks,Tier 1,Low,2.8,Medium,Coastal Ghanaian club with growing reputation in the Premier League
ENPPI,Tier 1,Medium,3.2,Medium,Egyptian Petroleum club; regular in Premier League with past CAF entries
Entente Sportive du Bafing,Tier 1,Low,2.8,Medium,Ivorian Ligue 1 club; known for physical play and recent promotion
Enugu Rangers,Tier 1,High,3.8,High,One of Nigeria’s most storied clubs; multiple NPFL and CAF appearances
Enyimba,Tier 1,Very High,4.5,High,Nigeria’s most successful club; 2× CAF Champions League winners
EO Sidi Bouzid,Tier 1,Low,2.8,Medium,Tunisian club with recent top-flight entry and disciplined play
ES Bingerville,Tier 2,None,2.2,Low,Ivorian second-division team with limited national exposure
ES Setif,Tier 1,Very High,4.5,High,One of Algeria’s top clubs; 2× CAF Champions League winners
Esperance de Tunis,Tier 1,Very High,5.0,Global,Tunisia’s most successful club; 4× CAF Champions League winners
Espoir,Tier 2,None,2.0,Low,Common name in Rwanda and Burkina Faso; typically used by lower-tier development clubs
Etoile du Sahel,Tier 1,Very High,4.8,High,CAF Champions League and Confederation Cup winners; historic Tunisian powerhouse
Etoile Metlaoui,Tier 1,Low,2.8,Medium,Tunisian Ligue 1 club; consistent but not a title contender
FAR Rabat,Tier 1,High,4.0,High,Moroccan army club; multiple-time league and African Cup Winners' Cup champions
Fauve Azur Elite FC,Tier 1,Low,2.8,Medium,Cameroonian Elite One club with recent top-tier presence
FC Bravos DO Maquis,Tier 1,Low,2.8,Low,Angolan Girabola club; mid-table regulars with local fanbase
FC Masr,Tier 1,Low,2.8,Medium,Cairo-based Egyptian club with growing ambitions; formerly in Premier League
FC Platinum,Tier 1,High,3.5,Medium,Top Zimbabwean club; frequent league champion and CAF participant
FC Struga Trim-Lum,Tier 1,Medium,3.2,Medium,North Macedonian club that recently rose to the top tier and earned European qualification
Ferroviario da Beira,Tier 1,High,3.5,Medium,Top club from Mozambique; known for strong CAF Champions League performances
Ferroviario Do Huambo,Tier 2,None,2.2,Low,"Angolan club with historical relevance, currently not in top flight"
Feutcheu FC,Tier 1,Low,2.8,Medium,Cameroonian club focused on youth development; consistent Elite One competitor
FK Borec Veles,Tier 1,Low,2.8,Medium,North Macedonian club with occasional top-tier appearances
Flame Lilly,Tier 2,None,2.0,Low,Zimbabwean police-affiliated team with limited Premier League presence
Forest Rangers,Tier 1,Medium,3.2,Medium,Zambian Super League club; recent rise in performance and CAF qualifiers
Fovu de Baham,Tier 1,Medium,3.0,Medium,Cameroonian club with national cup wins and stable top-flight presence
Free State Stars,Tier 2,Low,2.5,Medium,Historic South African club; won the Nedbank Cup in 2018 but relegated in 2019
FUS Rabat,Tier 1,High,4.0,High,Prominent Moroccan club; CAF Confederation Cup winner in 2010
Future FC,Tier 1,Medium,3.2,High,Fast-rising Egyptian club with recent CAF Confederation Cup appearances and strong backing
Gabes,Tier 2,None,2.3,Low,Tunisian club from southern Tunisia; history in Ligue 1 but now in lower divisions
Gaborone United,Tier 1,Medium,3.0,Medium,One of Botswana’s top clubs; regular in CAF competitions
Gateway FC,Tier 2,None,2.0,Low,Nigerian club with brief national recognition; currently in lower tiers
GD Baixa de Kassanje,Tier 1,Low,2.5,Low,Angolan club recently promoted to Girabola; limited national impact
GFK Tikvesh,Tier 1,Low,2.8,Medium,North Macedonian club with historical importance and recent top-tier presence
Ghazl El Mehalla,Tier 1,Low,3.0,Medium,Egyptian Premier League club with a strong history and one league title (1973)
Giwa FC,Tier 2,None,2.0,Low,Nigerian club banned from NPFL in 2016 due to administrative issues
Go Round,Tier 2,None,2.0,Low,Brief NPFL stint; currently in Nigerian second division
Gombe United,Tier 1,Low,2.8,Medium,Nigerian club with recurring presence in NPFL and local fan support
Green Buffaloes,Tier 1,Medium,3.0,Medium,Zambian army club; consistent performer in Super League with CAF experience
Green Eagles,Tier 1,Medium,3.2,Medium,Zambian club regularly competing in CAF Confederation Cup
Grombalia Sports,Tier 2,None,2.2,Low,Tunisian club with brief Ligue 1 history; now mostly in lower divisions
Gunners,Tier 1,Medium,2.8,Medium,Zimbabwean club; 2009 league champions and CAF participant
Hamam Sousse,Tier 1,Low,2.8,Medium,Tunisian Ligue 1 team with competitive but mid-tier performance
Harare City,Tier 1,Low,2.8,Medium,Municipal Zimbabwean club; former FA Cup winner with decent league record
Haras El-Hodood SC,Tier 1,Medium,3.0,Medium,Egyptian military-affiliated club with Premier League history and cup success
Hardbody,Tier 2,None,2.0,Low,Zimbabwean club with a short-lived top-tier appearance and humorous name recognition
Hasaacas,Tier 2,Low,2.5,Low,"Ghanaian club with rich history, currently in Division One; former Premier League champions"
Hassania Agadir,Tier 1,High,3.5,High,One of Morocco's historic clubs; strong CAF and Botola Pro competitor
Hay Al Arab,Tier 1,Medium,3.0,Medium,Sudanese club from Port Sudan; known for its long-standing league participation
Hay Al Wadi SC,Tier 1,Low,2.8,Low,Sudanese club with consistent top-flight appearances but limited visibility
HB Chelghoum Laid,Tier 1,Low,2.8,Medium,Algerian club with recent promotion to Ligue 1; competitive performances
Heart of Lions,Tier 2,Low,2.5,Low,Ghanaian club with past Premier League experience; currently in Division One
Heartland FC,Tier 1,Medium,3.2,Medium,Nigerian club with a strong legacy and past CAF Champions League final appearance (2009)
Hearts of Oak,Tier 1,Very High,4.5,High,One of Ghana’s biggest clubs; CAF Champions League winners in 2000
Herentals FC,Tier 1,Low,2.8,Medium,Zimbabwean Premier League club sponsored by Herentals Group of Colleges
Highlanders,Tier 1,High,3.5,High,One of Zimbabwe’s oldest and most popular clubs; strong local and regional reputation
Highlands Park,Tier 2,Low,2.8,Medium,South African club formerly in PSL; sold top-flight license in 2020
Highway,Tier 2,None,2.0,Low,Lesser-known Zimbabwean club; limited national and regional visibility
Hilal Al-Obayed,Tier 1,Medium,3.0,Medium,Sudanese club known for recent CAF Confederation Cup appearances and solid league finishes
Hilal El-Fasher,Tier 1,Low,2.8,Low,Top-division Sudanese club with growing domestic presence
Hire,Tier 2,None,1.8,Low,Little-known regional team; unclear country reference — likely local/Ivorian
Horoya AC,Tier 1,Very High,4.5,High,Guinea’s most successful club; dominant domestically and frequent CAF semi-finalist
How Mine,Tier 1 (defunct),Medium,3.0,Medium,Zimbabwean club sponsored by mining company; folded in 2018 after strong CAF run
Hwange,Tier 1,Low,2.8,Medium,Zimbabwean Premier League club; formerly known as Wankie FC with long history
Ifeanyi Ubah United,Tier 1,Medium,3.0,Medium,Privately owned Nigerian club; NPFL champions in 2016 Federation Cup
Ikorodu United,Tier 2,None,2.0,Low,Nigerian club briefly in NPFL; currently in lower divisions
Indeni FC,Tier 1,Low,2.8,Low,Zambian club with recent Super League appearances; limited continental record
Inter Allies FC,Tier 2,Low,2.5,Low,Ghanaian club known for youth exports and past Premier League participation
Interclube de Angola,Tier 1,Medium,3.0,Medium,Angolan club with strong local support and regular Girabola and CAF participation
Ismaily SC,Tier 1,High,4.0,High,Egyptian club with CAF Champions League title in 1969 and rich history
Issia Wazi,Tier 2,None,2.2,Low,Ivorian club with brief Ligue 1 appearances and limited recent exposure
Ittihad El-Shorta,Tier 2,None,2.5,Low,Egyptian police-affiliated club; has played in Premier League in past years
Ittihad Tanger,Tier 1,Medium,3.5,High,Popular Moroccan club; won Botola Pro in 2017–18
Ittihad Zemouri de Khemisset,Tier 2,None,2.3,Low,Moroccan club with historical top-flight appearances but now in lower leagues
Jangorzo,Tier 2,None,2.0,Low,Little-known Nigerien club with minimal national presence
Jazeerat Al Feel,Tier 2,None,2.0,Low,Sudanese lower-division team; rarely featured at national level
JC Abidjan,Tier 2,Low,2.2,Low,Ivorian club with development focus; fluctuates between divisions
Jeanne d'Arc de Bamako,Tier 2,None,2.3,Low,Malian club with past Ligue 1 presence and historical relevance
Jeunesse Sportive Soualem,Tier 1,Low,2.8,Medium,Recently promoted Moroccan Botola Pro club; rising domestic presence
Jigawa Golden Stars,Tier 1,Low,2.8,Medium,Nigerian club with NPFL history; promoted and relegated multiple times
Jomo Cosmos,Tier 2,Medium,2.5,Medium,South African club known for producing top talent; formerly in PSL
JS Kabylie,Tier 1,Very High,4.5,High,Most successful Algerian club; 2× CAF Champions League winners
JS Kairouanaise,Tier 2,Low,2.5,Medium,"Historic Tunisian club with past top-tier glory, currently in Ligue 2"
JS Saoura,Tier 1,High,3.8,High,Algerian club from the Sahara; regular CAF participant and league title contender
JSK Chabab Kasba Tadla,Tier 2,None,2.2,Low,Moroccan club with brief Botola Pro spell; now in lower divisions
JSM Bejaia,Tier 2,Low,2.5,Low,Algerian club with past Ligue 1 success and a CAF Confederation Cup final in 2012
JSM Laayoune,Tier 2,None,2.0,Low,Moroccan regional club from the southern city of Laayoune; minimal top-tier exposure
JSM Skikda,Tier 2,None,2.3,Low,Algerian club with brief top-flight appearance; currently playing in lower leagues
JUTH FC,Tier 2,None,2.0,Low,Defunct Nigerian club previously affiliated with the Jos University Teaching Hospital
Jwaneng Galaxy FC,Tier 1,High,3.5,Medium,Botswana’s top club; regular CAF Champions League participant
Kabuscorp SCP,Tier 1,High,3.5,Medium,Angolan club known for signing famous internationals; won Girabola in 2013
Kabwe Warriors,Tier 1,Medium,3.2,Medium,Zambian club with a strong historical legacy and league titles
KAC Kenitra,Tier 2,Low,2.5,Low,Historic Moroccan club currently outside Botola Pro
KACM Marrakech,Tier 2,Low,2.5,Low,Moroccan club with past Botola Pro status; currently rebuilding in lower divisions
Kaduna United FC,Tier 2,None,2.0,Low,Nigerian club previously in NPFL; now struggling to regain top-tier status
Kafue Celtic,Tier 1,Low,2.8,Medium,Zambian club known for developing Patson Daka; recently promoted to top tier
Kaizer Chiefs,Tier 1,Very High,5.0,Global,South Africa’s most popular club; CAF Champions League finalists in 2021
Kaloum Star,Tier 1,High,3.5,Medium,One of Guinea’s most historic clubs; frequent CAF participant
Kalulushi Modern Stars,Tier 2,None,2.2,Low,Zambian club with history in Super League; currently fluctuating in lower tiers
Kano Pillars,Tier 1,High,3.8,High,One of Nigeria’s biggest clubs; multiple NPFL titles and CAF appearances
Kansanshi Dynamos,Tier 1,Low,2.8,Medium,Zambian Super League club with growing ambitions and mining company backing
Karela United FC,Tier 1,Low,2.8,Medium,Ghanaian Premier League club with strong home form and vibrant support
Katsina United,Tier 1,Low,2.8,Medium,Consistent NPFL team with solid performances and state backing
