club_id,club_name,services_offered,affiliated_players,certified_trainers,location,membership_fees,verified_status,contact_email,phone_number
CAF049,CS Sfaxien Academy,"Elite training, youth leagues",130,11,Sfax Tunisia,$500/year,Yes,academy@cssfaxien.tn,+216 74 234 5678
CAF050,Étoile du Sahel Academy,"Skill development, scouting",150,12,Sousse Tunisia,$550/year,Yes,etoileacademy@etoiledusahel.tn,+216 73 345 6789
CAF051,ASEC Abidjan Academy,"Grassroots training, education",110,10,Abidjan Ivory Coast,$400/year,Yes,asecabidjan@asec.ci,+225 21 67 8901
CAF052,Canon Yaoundé Academy,"Youth coaching, talent development",100,9,Yaoundé Cameroon,$450/year,Yes,canonacademy@cyfc.cm,+237 222 34 5678
CAF053,Tonnerre Yaoundé Academy,"Technical training, scouting",90,8,Yaoundé Cameroon,$400/year,Yes,tonnerre@tyfc.cm,+237 222 67 8901
CAF054,Djoliba AC Academy,"Skill training, competitive play",120,10,Bamako Mali,$350/year,Yes,djolibaacademy@dac.ml,+223 20 89 0123
CAF055,Racing Club de Bobo Academy,"Youth development, leagues",100,9,Bobo-Dioulasso Burkina Faso,$300/year,Yes,rcbobo@rcbf.bf,+226 20 97 1234
CAF056,Étoile Filante Academy,"Grassroots training, scouting",110,8,Ouagadougou Burkina Faso,$350/year,Yes,etoilefilante@efbf.bf,+226 25 34 5678
CAF057,ASFA Yennenga Academy,"Technical training, youth programs",90,7,Ouagadougou Burkina Faso,$300/year,Yes,asfa@asfay.bf,+226 25 67 8901
CAF058,SC Gagnoa Academy,"Skill development, talent identification",100,9,Gagnoa Ivory Coast,$400/year,Yes,scgagnoa@scg.ci,+225 23 45 6789
CAF059,Africa Sports Academy,"Youth coaching, competitive play",120,10,Abidjan Ivory Coast,$450/year,Yes,africasports@as.ci,+225 21 89 0123
CAF060,SO Armée Academy,"Technical training, scouting",90,8,Abidjan Ivory Coast,$400/year,Yes,soarmee@soa.ci,+225 22 34 5678
CAF061,AS Douanes Academy,"Grassroots training, youth leagues",100,9,Lomé Togo,$350/year,Yes,asdouanes@adt.tg,+228 22 34 5678
CAF062,Dypto FC Academy,"Skill training, pro pathways",80,7,Lomé Togo,$300/year,Yes,dyptoacademy@dypto.tg,+228 22 67 8901
CAF063,ASC Kara Academy,"Youth development, technical skills",90,8,Kara Togo,$350/year,Yes,asckara@asck.tg,+228 26 34 5678
CAF064,USM Alger Academy,"Elite training, scouting",140,12,Algiers Algeria,$500/year,Yes,usmalger@usma.dz,+213 21 34 5678
CAF065,MC Alger Academy,"Technical training, youth leagues",130,11,Algiers Algeria,$450/year,Yes,mcalger@mca.dz,+213 21 67 8901
CAF066,CR Belouizdad Academy,"Skill development, competitive play",120,10,Algiers Algeria,$400/year,Yes,crbelouizdad@crb.dz,+213 21 89 0123
CAF067,ES Sétif Academy,"Youth coaching, talent scouting",110,9,Sétif Algeria,$450/year,Yes,essetif@ess.dz,+213 36 34 5678
CAF068,Paradou AC Academy,"Elite training, pro pathways",100,10,Algiers Algeria,$500/year,Yes,paradou@paradouac.dz,+213 21 23 4567
CAF069,ASO Chlef Academy,"Grassroots training, education",90,8,Chlef Algeria,$400/year,Yes,aso@asochlef.dz,+213 27 34 5678
CAF070,Hassan II Academy,"Technical training, youth development",120,11,Rabat Morocco,$550/year,Yes,hassan2academy@h2a.ma,+212 537 89 0123
CAF071,FUS Rabat Academy,"Skill training, competitive leagues",130,10,Rabat Morocco,$500/year,Yes,fusrabat@fusr.ma,+212 537 67 8901
CAF072,ASFAR Academy,"Elite training, scouting",140,12,Rabat Morocco,$600/year,Yes,asfar@asfar.ma,+212 537 34 5678
CAF073,Ittihad Tanger Academy,"Youth coaching, technical skills",100,9,Tangier Morocco,$450/year,Yes,ittihad@irt.ma,+212 539 34 5678
CAF074,Chabab Rif Al Hoceima Academy,"Grassroots training, leagues",90,8,Al Hoceima Morocco,$400/year,Yes,chabab@crh.ma,+212 539 67 8901
CAF075,Club Africain Academy,"Skill development, pro pathways",130,11,Tunis Tunisia,$500/year,Yes,clubafricain@ca.tn,+216 71 67 8901
CAF076,CS Hammam-Lif Academy,"Youth training, scouting",100,9,Hammam-Lif Tunisia,$450/year,Yes,cshl@cshl.tn,+216 71 34 5678
CAF077,Stade Tunisien Academy,"Technical training, youth leagues",90,8,Tunis Tunisia,$400/year,Yes,stadetunisien@st.tn,+216 71 89 0123
CAF078,DC Motema Pembe Academy,"Elite training, competitive play",120,10,Kinshasa DR Congo,$450/year,Yes,dcmotema@dcmp.cd,+243 81 67 8901
CAF079,AS Maniema Union Academy,"Grassroots training, scouting",100,9,Kindu DR Congo,$400/year,Yes,asmaniema@amu.cd,+243 82 34 5678
CAF080,FC Saint-Éloi Lupopo Academy,"Skill training, youth programs",110,8,Lubumbashi DR Congo,$450/year,Yes,fclupopo@fcl.cd,+243 81 89 0123
CAF081,Azam FC Academy,"Technical training, pro pathways",120,10,Dar es Salaam Tanzania,$400/year,Yes,azamacademy@azamfc.co.tz,+255 22 89 0123
CAF082,Namungo FC Academy,"Youth coaching, talent development",90,8,Lindi Tanzania,$350/year,Yes,namungo@namungofc.co.tz,+255 23 34 5678
CAF083,Mbeya City FC Academy,"Skill development, scouting",100,9,Mbeya Tanzania,$300/year,Yes,mbeyacity@mcfc.co.tz,+255 25 34 5678
CAF084,Kampala City FC Academy,"Elite training, youth leagues",130,11,Kampala Uganda,$400/year,Yes,kcca@kccafc.co.ug,+256 41 67 8901
CAF085,Proline FC Academy,"Grassroots training, education",90,8,Kampala Uganda,$350/year,Yes,proline@prolinefc.co.ug,+256 41 89 0123
CAF086,Onduparaka FC Academy,"Skill training, competitive play",100,9,Arua Uganda,$300/year,Yes,onduparaka@ofc.co.ug,+256 47 34 5678
CAF087,Hawassa City FC Academy,"Youth development, scouting",90,8,Hawassa Ethiopia,$300/year,Yes,hawassa@hcfc.et,+251 46 34 5678
CAF088,Ethiopia Nigd Bank FC Academy,"Technical training, leagues",100,9,Addis Ababa Ethiopia,$350/year,Yes,nigdbank@nbfc.et,+251 11 67 8901
CAF089,Fasil Kenema Academy,"Skill coaching, pro pathways",110,8,Gondar Ethiopia,$400/year,Yes,fasilkenema@fkfc.et,+251 58 34 5678
CAF090,Green Buffaloes Academy,"Youth training, competitive play",100,9,Lusaka Zambia,$350/year,Yes,greenbuffaloes@gbfc.zm,+260 211 34 5678
CAF091,Zanaco FC Academy,"Elite training, scouting",120,10,Lusaka Zambia,$400/year,Yes,zanaco@zanacofc.zm,+260 211 67 8901
CAF092,Nkana FC Academy,"Skill development, youth leagues",110,9,Kitwe Zambia,$350/year,Yes,nkana@nkanafc.zm,+260 212 34 5678
CAF093,Dynamos FC Academy,"Grassroots training, talent identification",130,11,Harare Zimbabwe,$300/year,Yes,dynamos@dynamosfc.co.zw,+263 4 67 8901
CAF094,CAPS United Academy,"Technical training, pro pathways",100,9,Harare Zimbabwe,$350/year,Yes,capsunited@caps.co.zw,+263 4 89 0123
CAF095,Highlanders FC Academy,"Youth coaching, scouting",110,8,Bulawayo Zimbabwe,$300/year,Yes,highlanders@hfc.co.zw,+263 9 34 5678
CAF096,Chicken Inn FC Academy,"Skill training, competitive leagues",90,7,Bulawayo Zimbabwe,$300/year,Yes,chickeninn@cifc.co.zw,+263 9 67 8901
CAF097,CFP Maputo Academy,"Youth development, technical skills",100,9,Maputo Mozambique,$350/year,Yes,cfpmaputo@cfp.mz,+258 21 34 5678
CAF098,UD Songo Academy,"Elite training, scouting",110,8,Songo Mozambique,$400/year,Yes,udsongo@uds.mz,+258 26 34 5678
CAF099,Black Bulls Academy,"Grassroots training, youth programs",90,7,Maputo Mozambique,$350/year,Yes,blackbulls@bbfc.mz,+258 21 67 8901
CAF100,SC Villa Academy,"Skill development, pro pathways",120,10,Kampala Uganda,$400/year,Yes,scvilla@scv.co.ug,+256 41 34 5678
CAF101,Ashanti Gold Academy,"Technical training, competitive play",130,11,Obuasi Ghana,$450/year,Yes,ashantigold@agfc.com,+233 32 67 8901
CAF101,Ashanti Gold Academy,"Technical training, competitive play",130,11,Obuasi Ghana,$450/year,Yes,ashantigold@agfc.com,+233 32 67 8901
CAF102,Kano Pillars Youth Academy,"Grassroots training, scouting",150,12,Kano Nigeria,$350/year,Yes,kano.pillars@kcfc.ng,"2,348,034,567,890"
CAF103,Shooting Stars Academy,"Youth development, technical skills",120,10,Ibadan Nigeria,$400/year,Yes,shootingstars@ssfc.ng,"2,348,023,456,789"
CAF104,Enugu Rangers Academy,"Elite training, competitive leagues",140,11,Enugu Nigeria,$450/year,Yes,rangers@erfc.ng,"2,348,067,890,123"
CAF105,Heartland FC Academy,"Skill coaching, talent identification",110,9,Owerri Nigeria,$400/year,Yes,heartland@hfc.ng,"2,348,031,234,567"
CAF106,Plateau United Academy,"Youth training, scouting",100,8,Jos Nigeria,$350/year,Yes,plateau@pufc.ng,"2,348,056,789,012"
CAF107,Sunshine Stars Academy,"Technical training, youth leagues",130,10,Akure Nigeria,$400/year,Yes,sunshine@ssfc.ng,"2,348,092,345,678"
CAF108,Bidvest Wits Youth Academy,"Elite training, pro pathways",140,12,Johannesburg South Africa,$550/year,Yes,witsyouth@bwfc.co.za,+27 11 345 6789
CAF109,SuperSport United Academy,"Skill development, competitive play",150,13,Pretoria South Africa,$600/year,Yes,supersport@sufc.co.za,+27 12 678 9012
CAF110,Bloemfontein Celtic Academy,"Youth coaching, technical skills",120,10,Bloemfontein South Africa,$500/year,Yes,celtic@bcfc.co.za,+27 51 234 5678
CAF111,Adama City FC Academy,"Grassroots training, education",100,8,Adama Ethiopia,$300/year,Yes,adamacity@acfc.et,+251 22 34 5678
CAF112,Dire Dawa City Academy,"Skill training, youth programs",90,7,Dire Dawa Ethiopia,$300/year,Yes,diredawa@ddfc.et,+251 25 34 5678
CAF113,Wolaitta Dicha Academy,"Youth development, scouting",110,9,Sodo Ethiopia,$350/year,Yes,wolaitta@wdfc.et,+251 46 67 8901
CAF114,Express FC Academy,"Technical training, competitive leagues",120,10,Kampala Uganda,$400/year,Yes,express@efc.co.ug,+256 41 34 5678
CAF115,Bul FC Academy,"Grassroots training, talent development",100,8,Jinja Uganda,$350/year,Yes,bulfc@bul.co.ug,+256 43 67 8901
CAF116,Kabaka Kyabagu Academy,"Youth coaching, skill development",90,7,Mbarara Uganda,$300/year,Yes,kabaka@kka.co.ug,+256 48 34 5678
CAF117,ASEC Ndiambour Academy,"Technical training, youth leagues",110,9,Louga Senegal,$450/year,Yes,asecndiambour@an.sn,+221 33 67 8901
CAF118,AS Pikine Academy,"Skill development, scouting",120,10,Pikine Senegal,$500/year,Yes,aspikine@asp.sn,+221 33 34 5678
CAF119,Teungueth FC Academy,"Elite training, pro pathways",130,11,Rufisque Senegal,$550/year,Yes,teungueth@tfc.sn,+221 33 89 0123
CAF120,Académie de Football de Djibouti,"Youth training, education",80,6,Djibouti City Djibouti,$300/year,Yes,afdjibouti@afd.dj,+253 21 34 5678
CAF121,Hafia FC Youth Academy,"Grassroots training, scouting",100,9,Conakry Guinea,$350/year,Yes,hafia@hfc.gn,+224 30 34 5678
CAF122,CI Kamsar Academy,"Skill coaching, youth programs",90,8,Kamsar Guinea,$300/year,Yes,cikamsar@cik.gn,+224 30 67 8901
CAF123,ASKO de Kara Academy,"Technical training, competitive play",110,9,Kara Togo,$350/year,Yes,asko@askok.tg,+228 26 34 5678
CAF124,Sembehun FC Academy,"Youth development, leagues",90,7,Porto-Novo Benin,$300/year,Yes,sembehun@sfc.bj,+229 21 34 5678
CAF125,Dragons FC Academy,"Skill training, scouting",100,8,Porto-Novo Benin,$350/year,Yes,dragons@dfc.bj,+229 21 67 8901
CAF126,Buffles du Borgou Academy,"Grassroots training, education",80,6,Parakou Benin,$300/year,Yes,buffles@bbfc.bj,+229 23 34 5678
CAF127,Étoile Sportive du Sahel Academy,"Elite training, youth leagues",140,12,Bamako Mali,$400/year,Yes,etoilesahel@ess.ml,+223 20 34 5678
CAF128,Real Bamako Academy,"Technical training, pro pathways",120,10,Bamako Mali,$450/year,Yes,realbamako@rb.ml,+223 20 67 8901
CAF129,Centre Salif Keita,"Youth coaching, talent development",100,9,Bamako Mali,$400/year,Yes,salifkeita@csk.ml,+223 20 89 0123
CAF130,Académie des Comores,"Grassroots training, scouting",70,5,Moroni Comoros,$250/year,Yes,academie@adc.km,+269 77 34 5678
CAF131,FC Platinum Academy,"Skill development, competitive play",110,9,Zvishavane Zimbabwe,$350/year,Yes,fcplatinum@fcp.co.zw,+263 39 34 5678
CAF132,Manica Diamonds Academy,"Youth training, technical skills",100,8,Mutare Zimbabwe,$300/year,Yes,manica@md.co.zw,+263 20 67 8901
CAF133,Ngezi Platinum Stars Academy,"Elite training, scouting",120,10,Ngezi Zimbabwe,$350/year,Yes,ngezi@nps.co.zw,+263 55 34 5678
CAF134,ZPC Kariba Academy,"Grassroots training, youth leagues",90,7,Kariba Zimbabwe,$300/year,Yes,zpc@zpck.co.zw,+263 61 34 5678
CAF135,Al Merreikh Academy,"Technical training, competitive play",130,11,Omdurman Sudan,$400/year,Yes,almerreikh@amfc.sd,+249 18 34 5678
CAF136,Al Hilal Academy,"Elite training, pro pathways",150,12,Omdurman Sudan,$450/year,Yes,alhilal@ahfc.sd,+249 18 67 8901
CAF137,Khartoum NC Academy,"Youth coaching, skill development",100,9,Khartoum Sudan,$350/year,Yes,khartoum@knc.sd,+249 15 34 5678
CAF138,Hilal Obayed Academy,"Grassroots training, scouting",90,8,Obayed Sudan,$300/year,Yes,hilalobayed@ho.sd,+249 15 67 8901
CAF139,Young Africans Academy,"Skill training, youth programs",120,10,Juba South Sudan,$300/year,Yes,youngafricans@ya.ss,+211 92 34 5678
CAF140,Malakia FC Academy,"Youth development, technical skills",80,6,Juba South Sudan,$250/year,Yes,malakia@mfc.ss,+211 92 67 8901
CAF141,APR FC Academy,"Elite training, competitive leagues",130,11,Kigali Rwanda,$400/year,Yes,apr@aprfc.rw,+250 78 34 5678
CAF142,Rayon Sports Academy,"Skill development, scouting",110,9,Gisenyi Rwanda,$350/year,Yes,rayon@rsfc.rw,+250 78 67 8901
CAF143,Mukura Victory Academy,"Grassroots training, youth programs",90,8,Huye Rwanda,$300/year,Yes,mukura@mvfc.rw,+250 78 89 0123
CAF144,Police FC Academy,"Technical training, competitive play",100,9,Kigali Rwanda,$350/year,Yes,police@pfc.rw,+250 78 34 5678
CAF145,Green Eagles Academy,"Youth coaching, skill development",110,8,Choma Zambia,$350/year,Yes,greeneagles@gefc.zm,+260 21 34 5678
CAF146,Power Dynamos Academy,"Elite training, scouting",120,10,Kitwe Zambia,$400/year,Yes,power@pdfc.zm,+260 21 67 8901
CAF147,Red Arrows Academy,"Grassroots training, youth leagues",100,9,Lusaka Zambia,$350/year,Yes,redarrows@rafc.zm,+260 21 89 0123
CAF148,Ferroviaire FC Academy,"Skill training, competitive play",90,7,Lubango Angola,$400/year,Yes,ferroviaire@ffc.ao,+244 26 34 5678
CAF149,Petro Atlético Academy,"Youth development, pro pathways",130,11,Luanda Angola,$450/year,Yes,petro@patfc.ao,+244 22 67 8901
CAF150,Kabuscorp SC Academy,"Technical training, scouting",110,9,Luanda Angola,$400/year,Yes,kabuscorp@ksc.ao,+244 22 34 5678
CAF151,Desportivo da Huíla Academy,"Youth training, technical skills",100,8,Huíla Angola,$400/year,Yes,desportivo@dhfc.ao,+244 26 67 8901
CAF152,Interclube Academy,"Elite training, competitive leagues",120,10,Luanda Angola,$450/year,Yes,interclube@icfc.ao,+244 22 89 0123
CAF153,Academia de Futebol de Bissau,"Grassroots training, scouting",90,7,Bissau Guinea-Bissau,$300/year,Yes,afbissau@afb.gw,+245 95 34 5678
CAF154,Sporting Bissau Academy,"Skill development, youth programs",80,6,Bissau Guinea-Bissau,$250/year,Yes,sporting@sbfc.gw,+245 95 67 8901
CAF155,Balantas FC Academy,"Youth coaching, technical skills",70,5,Mansôa Guinea-Bissau,$250/year,Yes,balantas@bfc.gw,+245 95 89 0123
CAF156,ASEC Koudougou Academy,"Grassroots training, education",90,7,Koudougou Burkina Faso,$300/year,Yes,aseck@asec.bf,+226 20 34 5678
CAF157,RCK Academy,"Skill training, competitive play",100,8,Ouagadougou Burkina Faso,$350/year,Yes,rck@rck.bf,+226 25 67 8901
CAF158,Majestic FC Academy,"Youth development, scouting",110,9,Bobo-Dioulasso Burkina Faso,$350/year,Yes,majestic@mfc.bf,+226 20 89 0123
CAF159,AS SONABEL Academy,"Technical training, youth leagues",80,6,Ouagadougou Burkina Faso,$300/year,Yes,sonabel@asb.bf,+226 25 34 5678
CAF160,Bujumbura City Academy,"Grassroots training, scouting",90,7,Gitega Burundi,$300/year,Yes,bujumbura@bcfc.bi,+257 22 34 5678
CAF161,Le Messager FC Academy,"Youth coaching, skill development",80,6,Ngozi Burundi,$250/year,Yes,messager@mfc.bi,+257 22 67 8901
CAF162,Vital’O FC Academy,"Technical training, competitive play",100,8,Gitega Burundi,$350/year,Yes,vitalo@vfc.bi,+257 22 89 0123
CAF163,Stella Maris Academy,"Grassroots training, education",90,7,Monrovia Liberia,$300/year,Yes,stellamaris@smfc.lr,+231 88 34 5678
CAF164,LISCR FC Academy,"Skill development, youth leagues",100,8,Monrovia Liberia,$350/year,Yes,liscr@lfc.lr,+231 88 67 8901
CAF165,Barrack Young Controllers Academy,"Youth training, scouting",110,9,Monrovia Liberia,$350/year,Yes,byc@byc.lr,+231 88 89 0123
CAF166,Nimba United Academy,"Technical training, competitive play",80,6,Sanniquellie Liberia,$300/year,Yes,nimba@nufc.lr,+231 88 34 5678
CAF167,Académie de Football de Niamey,"Grassroots training, scouting",90,7,Niamey Niger,$300/year,Yes,afniamey@afn.ne,+227 20 34 5678
CAF168,Sahel SC Academy,"Skill coaching, youth programs",100,8,Niamey Niger,$350/year,Yes,sahel@ssc.ne,+227 20 67 8901
CAF169,AS GNN Academy,"Youth development, technical skills",80,6,Niamey Niger,$300/year,Yes,asgnn@agn.ne,+227 20 89 0123
CAF170,Zamalek SC Youth Academy,"Elite training, competitive leagues",150,12,Gezira Egypt,$550/year,Yes,zamalek@zsc.eg,+20 2 34 5678
CAF171,Ismaily SC Academy,"Skill development, scouting",130,11,Ismailia Egypt,$500/year,Yes,ismaily@isc.eg,+20 64 34 5678
CAF172,Pyramids FC Academy,"Youth training, pro pathways",140,12,Cairo Egypt,$600/year,Yes,pyramids@pfc.eg,+20 2 67 8901
CAF173,ENPPI Club Academy,"Technical training, youth leagues",120,10,Cairo Egypt,$500/year,Yes,enppi@enppi.eg,+20 2 89 0123
CAF174,Mokawloon Academy,"Grassroots training, scouting",110,9,Cairo Egypt,$450/year,Yes,mokawloon@mfc.eg,+20 2 34 5678
CAF175,Hussein Dey Academy,"Youth coaching, skill development",100,8,Algiers Algeria,$400/year,Yes,husseindey@hd.dz,+213 21 34 5678
CAF176,MC Oran Academy,"Technical training, competitive play",120,10,Oran Algeria,$450/year,Yes,mcoran@mco.dz,+213 41 34 5678
CAF177,JS Saoura Academy,"Skill development, youth leagues",110,9,Bechar Algeria,$400/year,Yes,jssaoura@jss.dz,+213 49 34 5678
CAF178,CS Constantine Academy,"Elite training, scouting",130,11,Constantine Algeria,$450/year,Yes,csconstantine@csc.dz,+213 31 34 5678
CAF179,NA Hussein Dey Academy,"Youth training, technical skills",100,8,Algiers Algeria,$400/year,Yes,nahd@nahd.dz,+213 21 67 8901
CAF180,ASC Diaraf Academy,"Grassroots training, competitive play",120,10,Dakar Senegal,$500/year,Yes,diaraf@ad.sn,+221 33 34 5678
CAF181,Jaraaf Academy,"Skill development, youth programs",110,9,Dakar Senegal,$450/year,Yes,jaraaf@jfc.sn,+221 33 67 8901
CAF182,AS Douanes Academy Senegal,"Youth coaching, scouting",100,8,Dakar Senegal,$400/year,Yes,douanes@ads.sn,+221 33 89 0123
CAF183,Linguère Academy,"Technical training, leagues",90,7,Saint-Louis Senegal,$400/year,Yes,linguere@alf.sn,+221 33 34 5678
CAF184,Casa Sports Academy,"Elite training, pro pathways",130,11,Ziguinchor Senegal,$450/year,Yes,casa@csfc.sn,+221 33 67 8901
CAF185,AS Kaloum Star Academy,"Grassroots training, scouting",100,9,Conakry Guinea,$350/year,Yes,kaloum@aks.gn,+224 30 34 5678
CAF186,Satellite FC Academy,"Skill coaching, youth leagues",90,8,Conakry Guinea,$300/year,Yes,satellite@sfc.gn,+224 30 67 8901
CAF187,Fello Star Academy,"Youth development, technical skills",80,6,Labé Guinea,$300/year,Yes,fello@fsfc.gn,+224 30 89 0123
