box_id,company_name,services_offered,affiliated_clients,partnerships_made,region,contact_email,phone_number,social_media_links
48,Luanda Media Experts,Football Sponsorship & Branding,Angola Girabola League,"Unitel Angola, Adidas","Luanda, Angola",contact@luandasports.com,+244 92 765432,www.luandasports.com
49,Bissau Sports PR,Football Promotions & Branding,Guinea-Bissau National Team,"Orange Bissau, Puma","Bissau, Guinea-Bissau",pr@bissausports.com,+245 96 987654,www.bissausports.com
50,Dodoma Football Media,Football PR & Digital Branding,Tanzania Football Federation,"Tigo Tanzania, Nike","Dodoma, Tanzania",support@dodomasports.com,+255 65 654321,www.dodomasports.com
51,Ouagadougou Football PR,Football Marketing & Sponsorships,Burkina Faso Premier League,"Orange Burkina, Puma","Ouagadougou, Burkina Faso",info@ouagadougousports.com,+226 70 654321,www.ouagadougousports.com
52,Maputo Sports Communications,Athlete Branding & PR,Mozambique National Team,"Vodacom Mozambique, Nike","Maputo, Mozambique",contact@maputosports.com,+258 82 7654321,www.maputosports.com
53,Asmara Media Hub,Football PR & Sponsorships,Eritrean National Team,"Eritel, Adidas","Asmara, Eritrea",pr@asmarasports.com,+291 7 654321,www.asmarasports.com
54,Lilongwe Sports Media,Club PR & Athlete Marketing,Malawi National Team,"TNM Malawi, Puma","Lilongwe, Malawi",support@lilongwesports.com,+265 88 987654,www.lilongwesports.com
55,N’Djamena Football PR,Football Sponsorship & Branding,Chadian Football League,"Airtel Chad, Adidas","N’Djamena, Chad",info@ndjamenasports.com,+235 99 765432,www.ndjamenasports.com
56,Juba Sports Branding,Athlete PR & Sponsorships,South Sudan National Team,"MTN South Sudan, Nike","Juba, South Sudan",contact@jubasports.com,+211 92 654321,www.jubasports.com
57,Praia Sports Connect,Football Marketing & Sponsorships,Cape Verde Premier League,"Unitel T+, Puma","Praia, Cape Verde",pr@praiasports.com,+238 95 765432,www.praiasports.com
58,Niamey Football Media,Football PR & Club Branding,Nigerien Football Federation,"Moov Niger, Adidas","Niamey, Niger",support@niameysports.com,+227 97 654321,www.niameysports.com
59,Bujumbura Sports Promotions,Football Branding & Digital PR,Burundi Premier League,"Econet Burundi, Nike","Bujumbura, Burundi",info@bujumburasports.com,+257 79 765432,www.bujumburasports.com
60,Porto-Novo Football PR,Athlete Branding & Club Promotions,Benin Premier League,"MTN Benin, Puma","Porto-Novo, Benin",contact@portonovosports.com,+229 97 654321,www.portonovosports.com
61,Victoria PR Solutions,Football Sponsorship & Media,Seychelles National Team,"Cable & Wireless, Adidas","Victoria, Seychelles",pr@victoriasports.com,+248 25 765432,www.victoriasports.com
62,São Tomé Media Hub,Athlete PR & Branding,São Tomé National Team,"Unitel ST, Nike","São Tomé, São Tomé & Príncipe",support@saotomesports.com,+239 99 765432,www.saotomesports.com
63,Antananarivo Football PR,Club Promotions & Sponsorships,Madagascar National Team,"Airtel Madagascar, Puma","Antananarivo, Madagascar",info@antananarivosports.com,+261 32 987654,www.antananarivosports.com
64,Moroni Sports Branding,Football PR & Club Marketing,Comoros National Team,"Telma Comoros, Adidas","Moroni, Comoros",contact@comorossports.com,+269 77 654321,www.comorossports.com
65,Luanda Media Hub,Football Branding & Sponsorships,Angola Premier League,"Unitel Angola, Nike","Luanda, Angola",pr@luandasports.com,+244 92 765432,www.luandasports.com
66,Bissau Football PR,Club PR & Sponsorship Activation,Guinea-Bissau Premier League,"Orange Bissau, Adidas","Bissau, Guinea-Bissau",support@bissausports.com,+245 96 987654,www.bissausports.com
67,Dodoma Football Media,Football Marketing & Club PR,Tanzania Premier League,"Tigo Tanzania, Puma","Dodoma, Tanzania",info@dodomasports.com,+255 65 654321,www.dodomasports.com
68,Kampala Football Connect,Athlete Branding & Sponsorships,Uganda Premier League,"MTN Uganda, Adidas","Kampala, Uganda",contact@kampalasports.com,+256 75 765432,www.kampalasports.com
69,Freetown Sports Branding,Football PR & Club Sponsorship,Sierra Leone Premier League,"Africell, Puma","Freetown, Sierra Leone",pr@freetownsports.com,+232 76 654321,www.freetownsports.com
70,Maseru Football Promotions,Football Branding & Sponsorship,Lesotho Football League,"Vodacom Lesotho, Nike","Maseru, Lesotho",support@maserusports.com,+266 50 987654,www.maserusports.com
71,Lusaka Sports PR,Football Club PR & Sponsorships,Zambia Super League,"MTN Zambia, Adidas","Lusaka, Zambia",info@lusakasports.com,+260 97 654321,www.lusakasports.com
72,Djibouti Sports Media,Football Branding & Sponsorships,Djibouti Football Federation,"Telcom Djibouti, Nike","Djibouti, Djibouti",contact@djiboutisports.com,+253 77 765432,www.djiboutisports.com
73,Bangui Football Connect,Football PR & Sponsorship Activation,Central African Republic League,"Orange CAR, Puma","Bangui, CAR",pr@banguisports.com,+236 70 765432,www.banguisports.com
74,Conakry Media Solutions,Football Marketing & Sponsorships,Guinea Premier League,"MTN Guinea, Adidas","Conakry, Guinea",support@conakrysports.com,+224 62 987654,www.conakrysports.com
75,Libreville Sports PR,Club Sponsorship & Athlete Branding,Gabon Premier League,"Moov Gabon, Puma","Libreville, Gabon",info@librevillesports.com,+241 74 765432,www.librevillesports.com
76,Lomé PR Solutions,Club PR & Digital Marketing,Togo Premier League,"Moov Togo, Puma","Lomé, Togo",info@lomesportspr.com,+228 90 123456,www.lomesportspr.com
77,Port Louis Branding Hub,Football Branding & PR,Mauritius National Team,"Orange Mauritius, Adidas","Port Louis, Mauritius",contact@portlouissports.com,+230 57 654987,www.portlouissports.com
78,Kigali Media Experts,Athlete PR & Sponsorships,Rwanda Premier League,"MTN Rwanda, Nike","Kigali, Rwanda",pr@kigalisports.com,+250 78 654321,www.kigalisports.com
79,Bamako Football Media,Club Promotions & PR,Mali National Team,"Orange Mali, Puma","Bamako, Mali",support@bamakosports.com,+223 79 765123,www.bamakosports.com
80,Malabo Sports Connect,Football PR & Branding,Equatorial Guinea Premier League,"TotalEnergies, Adidas","Malabo, Equatorial Guinea",info@malabosports.com,+240 99 543210,www.malabosports.com
81,Niamey Sports PR,Athlete Branding & Sponsorship,Niger Football Federation,"Airtel Niger, Nike","Niamey, Niger",contact@niameysports.com,+227 97 567432,www.niameysports.com
82,Libreville Media Hub,Football Marketing & PR,Gabon Premier League,"Moov Gabon, Puma","Libreville, Gabon",pr@librevillesports.com,+241 74 987321,www.librevillesports.com
83,Victoria PR Connect,Football Sponsorships & Branding,Seychelles National Team,"Airtel Seychelles, Adidas","Victoria, Seychelles",support@victoriasports.com,+248 25 987654,www.victoriasports.com
84,São Tomé Football PR,Football Sponsorships & Branding,São Tomé Premier League,"Unitel ST, Nike","São Tomé, São Tomé & Príncipe",info@saotomesports.com,+239 99 321654,www.saotomesports.com
85,Antananarivo Media House,Club PR & Sponsorships,Madagascar Premier League,"Airtel Madagascar, Puma","Antananarivo, Madagascar",contact@antananarivosports.com,+261 32 987456,www.antananarivosports.com
86,Moroni Sports PR,Football Branding & Athlete Marketing,Comoros Premier League,"Telma Comoros, Adidas","Moroni, Comoros",pr@comorossports.com,+269 77 543210,www.comorossports.com
87,Luanda PR Experts,Football Sponsorships & Club Branding,Angola Girabola League,"Unitel Angola, Nike","Luanda, Angola",support@luandasports.com,+244 92 765987,www.luandasports.com
88,Bissau Sports Connect,Football PR & Athlete Branding,Guinea-Bissau Premier League,"Orange Bissau, Puma","Bissau, Guinea-Bissau",info@bissausports.com,+245 96 543987,www.bissausports.com
89,Dodoma Football PR,Club Marketing & Sponsorships,Tanzania Football Federation,"Tigo Tanzania, Adidas","Dodoma, Tanzania",contact@dodomasports.com,+255 65 678432,www.dodomasports.com
90,Kampala Media House,Football Branding & Sponsorships,Uganda Premier League,"MTN Uganda, Puma","Kampala, Uganda",pr@kampalasports.com,+256 75 432987,www.kampalasports.com
91,Freetown PR & Branding,Club PR & Sponsorships,Sierra Leone Premier League,"Africell, Adidas","Freetown, Sierra Leone",support@freetownsports.com,+232 76 789654,www.freetownsports.com
92,Maseru Football Media,Football Marketing & PR,Lesotho Premier League,"Vodacom Lesotho, Nike","Maseru, Lesotho",info@maserusports.com,+266 50 123678,www.maserusports.com
93,Lusaka Football Promotions,Athlete Branding & PR,Zambian Super League,"MTN Zambia, Puma","Lusaka, Zambia",contact@lusakasports.com,+260 97 654789,www.lusakasports.com
94,Bangui Sports PR,Football Sponsorships & Branding,Central African Republic League,"Orange CAR, Adidas","Bangui, CAR",pr@banguisports.com,+236 70 321987,www.banguisports.com
95,Conakry PR & Sponsorships,Club Branding & Athlete Marketing,Guinea Premier League,"MTN Guinea, Nike","Conakry, Guinea",support@conakrysports.com,+224 62 876543,www.conakrysports.com
96,Libreville Football Connect,Football PR & Club Marketing,Gabon Premier League,"Moov Gabon, Puma","Libreville, Gabon",info@librevillesports.com,+241 74 543789,www.librevillesports.com
97,Accra Sports Branding,Football PR & Sponsorships,Ghana Premier League,"MTN Ghana, Adidas","Accra, Ghana",contact@accrasports.com,+233 30 567432,www.accrasports.com
98,Dakar Football Promotions,Club PR & Sponsorship Activation,Senegal Premier League,"Orange Senegal, Nike","Dakar, Senegal",pr@dakarsports.com,+221 77 654321,www.dakarsports.com
99,Johannesburg Sports PR,Athlete PR & Digital Branding,South African Premier League,"Vodacom SA, Puma","Johannesburg, South Africa",support@joburgsports.com,+27 11 543876,www.joburgsports.com
100,Tunis Football Branding,Football PR & Club Marketing,"Tunisia FA, Club Africain","Orange Tunisia, Adidas","Tunis, Tunisia",info@tunissports.com,+216 20 987654,www.tunissports.com
101,Lomé Sports Marketing,Athlete Sponsorship & Club PR,Togo National Team,"Moov Togo, Puma","Lomé, Togo",info@lomesportsmarketing.com,+228 92 345678,www.lomesportsmarketing.com
102,Banjul PR Hub,Football Branding & Sponsorship,Gambian Football League,"Africell Gambia, Adidas","Banjul, Gambia",contact@banjulprhub.com,+220 77 654321,www.banjulprhub.com
103,Nouakchott Sports Promotions,Football PR & Sponsorship,Mauritania National Team,"Mauritel, Puma","Nouakchott, Mauritania",pr@nouakchottsports.com,+222 45 987654,www.nouakchottsports.com
104,Juba Sports Connect,Football Sponsorships & PR,South Sudan Premier League,"MTN South Sudan, Adidas","Juba, South Sudan",support@jubasports.com,+211 92 345678,www.jubasports.com
105,Asmara Media Experts,Club Branding & Athlete Marketing,Eritrea National Team,"Eritel, Nike","Asmara, Eritrea",info@asmarasports.com,+291 7 654321,www.asmarasports.com
106,Bissau Sports Promotions,Football PR & Sponsorship Activation,Guinea-Bissau League,"Orange Bissau, Puma","Bissau, Guinea-Bissau",pr@bissausports.com,+245 96 765432,www.bissausports.com
107,Port Louis Football Branding,Club PR & Digital Marketing,Mauritius National Team,"Orange Mauritius, Adidas","Port Louis, Mauritius",contact@portlouissports.com,+230 57 654321,www.portlouissports.com
108,Antananarivo Media Hub,Football Branding & Athlete Sponsorships,Madagascar Premier League,"Airtel Madagascar, Puma","Antananarivo, Madagascar",support@antananarivosports.com,+261 32 987654,www.antananarivosports.com
109,Dar es Salaam PR Connect,Football Sponsorship & Digital Branding,Tanzania Football Federation,"Tigo Tanzania, Nike","Dar es Salaam, Tanzania",info@darsports.com,+255 65 678901,www.darsports.com
110,Niamey Sports PR Solutions,Club Branding & PR Services,Niger Premier League,"Airtel Niger, Adidas","Niamey, Niger",pr@niameysports.com,+227 97 345678,www.niameysports.com
111,Brazzaville Sports Promotions,Football Sponsorship & Club Marketing,Congo National Team,"TotalEnergies, Puma","Brazzaville, Congo",support@brazzavillesports.com,+242 06 987654,www.brazzavillesports.com
112,Monrovia Football PR,Football PR & Digital Marketing,Liberia Football League,"MTN Liberia, Adidas","Monrovia, Liberia",info@monroviasports.com,+231 77 432109,www.monroviasports.com
113,Victoria Sports Marketing,Athlete Branding & Club PR,Seychelles National Team,"Airtel Seychelles, Puma","Victoria, Seychelles",contact@victoriasports.com,+248 25 987654,www.victoriasports.com
114,São Tomé Football Media,Club Promotions & Sponsorships,São Tomé & Príncipe League,"Unitel ST, Nike","São Tomé, São Tomé & Príncipe",pr@saotomesports.com,+239 99 654321,www.saotomesports.com
115,Mogadishu Football PR,Football Branding & Sponsorship,Somalia Premier League,"Hormuud Telecom, Adidas","Mogadishu, Somalia",support@mogadishusports.com,+252 61 765432,www.mogadishusports.com
116,Windhoek PR Solutions,Football Sponsorship & PR Services,Namibian National Team,"MTC Namibia, Puma","Windhoek, Namibia",info@windhoeksports.com,+264 81 345678,www.windhoeksports.com
117,Accra Sports PR,Club Branding & Digital PR,Ghana Premier League,"MTN Ghana, Adidas","Accra, Ghana",contact@accrasports.com,+233 30 987654,www.accrasports.com
118,Dakar Sports Promotions,Football PR & Digital Sponsorship,Senegal Football Federation,"Orange Senegal, Nike","Dakar, Senegal",pr@dakarsports.com,+221 77 654321,www.dakarsports.com
119,Johannesburg PR Hub,Athlete Branding & Sponsorships,South African Premier League,"Vodacom SA, Puma","Johannesburg, South Africa",support@joburgsports.com,+27 11 543876,www.joburgsports.com
120,Tunis Football PR,Club Promotions & Sponsorships,"Tunisia FA, Club Africain","Orange Tunisia, Adidas","Tunis, Tunisia",info@tunissports.com,+216 20 987654,www.tunissports.com
121,Maputo Sports PR,Football Branding & Sponsorships,Mozambique Premier League,"Vodacom Mozambique, Puma","Maputo, Mozambique",pr@maputosports.com,+258 82 765432,www.maputosports.com
122,Gaborone Football Promotions,Football PR & Sponsorships,Botswana Premier League,"Orange Botswana, Nike","Gaborone, Botswana",support@gaboronesports.com,+267 71 987654,www.gaboronesports.com
123,Luanda Sports Media,Football Branding & PR Services,Angola National Team,"Unitel Angola, Adidas","Luanda, Angola",info@luandasports.com,+244 92 765987,www.luandasports.com
124,Freetown Football PR,Club Marketing & Athlete PR,Sierra Leone Premier League,"Africell, Puma","Freetown, Sierra Leone",contact@freetownsports.com,+232 76 789654,www.freetownsports.com
125,Kampala PR Hub,Football Sponsorship & Club PR,Uganda Football League,"MTN Uganda, Nike","Kampala, Uganda",pr@kampalasports.com,+256 75 432987,www.kampalasports.com
126,Lusaka Sports Promotions,Football Sponsorship & Branding,Zambia Premier League,"MTN Zambia, Puma","Lusaka, Zambia",info@lusakasportspr.com,+260 97 432567,www.lusakasportspr.com
127,Bujumbura PR Connect,Football PR & Digital Marketing,Burundi Premier League,"Econet Burundi, Nike","Bujumbura, Burundi",contact@bujumburasports.com,+257 79 876543,www.bujumburasports.com
128,Porto-Novo Media Hub,Football Branding & Sponsorship,Benin Premier League,"MTN Benin, Puma","Porto-Novo, Benin",pr@portonovosports.com,+229 97 345678,www.portonovosports.com
129,Bangui Sports PR,Football Sponsorships & Branding,Central African Republic League,"Orange CAR, Adidas","Bangui, CAR",support@banguisports.com,+236 70 321567,www.banguisports.com
130,Niamey PR Solutions,Football Branding & Athlete Sponsorship,Niger Premier League,"Moov Niger, Adidas","Niamey, Niger",info@niameysports.com,+227 97 234567,www.niameysports.com
131,Yaoundé Sports Marketing,Athlete Sponsorship & Club PR,Cameroon Football League,"Guinness Cameroon, Nike","Yaoundé, Cameroon",contact@yaoundesports.com,+237 675 654321,www.yaoundesports.com
132,Abidjan Media Experts,Football PR & Sponsorship Activation,Ivory Coast League,"Coca-Cola, Puma","Abidjan, Ivory Coast",pr@abidjansports.com,+225 07 654321,www.abidjansports.com
133,Nouakchott Football Branding,Club PR & Digital Marketing,Mauritania Premier League,"Mauritel, Puma","Nouakchott, Mauritania",support@nouakchottsports.com,+222 45 987321,www.nouakchottsports.com
134,Juba Football Promotions,Football Sponsorships & Branding,South Sudan National Team,"MTN South Sudan, Adidas","Juba, South Sudan",info@jubasports.com,+211 92 345678,www.jubasports.com
135,Mogadishu Sports PR,Football Branding & Sponsorship,Somalia Premier League,"Hormuud Telecom, Adidas","Mogadishu, Somalia",contact@mogadishusports.com,+252 61 765321,www.mogadishusports.com
136,Gaborone PR Hub,Football Sponsorship & Branding,Botswana Premier League,"Orange Botswana, Puma","Gaborone, Botswana",pr@gaboronesports.com,+267 71 876543,www.gaboronesports.com
137,Dar es Salaam Football Promotions,Athlete Branding & Sponsorship,Tanzania Premier League,"Tigo Tanzania, Nike","Dar es Salaam, Tanzania",support@darsports.com,+255 65 654987,www.darsports.com
138,Asmara Sports Connect,Football Sponsorship & PR,Eritrean Football League,"Eritel, Puma","Asmara, Eritrea",info@asmarasports.com,+291 7 765432,www.asmarasports.com
139,Freetown Sports Marketing,Football Branding & Digital Marketing,Sierra Leone Premier League,"Africell, Adidas","Freetown, Sierra Leone",contact@freetownsports.com,+232 76 789321,www.freetownsports.com
140,Victoria PR Experts,Football Sponsorship & Club Branding,Seychelles National Team,"Airtel Seychelles, Puma","Victoria, Seychelles",pr@victoriasports.com,+248 25 432987,www.victoriasports.com
141,Antananarivo PR Solutions,Football Branding & Digital PR,Madagascar Premier League,"Airtel Madagascar, Adidas","Antananarivo, Madagascar",support@antananarivosports.com,+261 32 654789,www.antananarivosports.com
142,São Tomé Media Hub,Club Promotions & Sponsorships,São Tomé & Príncipe League,"Unitel ST, Nike","São Tomé, São Tomé & Príncipe",info@saotomesports.com,+239 99 765321,www.saotomesports.com
143,Libreville Sports Promotions,Athlete Branding & Club PR,Gabon Premier League,"Moov Gabon, Puma","Libreville, Gabon",contact@librevillesports.com,+241 74 987123,www.librevillesports.com
144,Tunis Football PR,Club Branding & Sponsorship,Tunisia National Team,"Orange Tunisia, Adidas","Tunis, Tunisia",pr@tunissports.com,+216 20 543789,www.tunissports.com
145,Johannesburg PR Solutions,Football Sponsorship & PR Services,South African Premier League,"Vodacom SA, Puma","Johannesburg, South Africa",support@joburgsports.com,+27 11 567432,www.joburgsports.com
146,Dakar Media Experts,Football Branding & Sponsorship Activation,Senegal Premier League,"Orange Senegal, Nike","Dakar, Senegal",info@dakarsports.com,+221 77 432678,www.dakarsports.com
147,Accra PR Hub,Athlete Sponsorship & Club PR,Ghana Premier League,"MTN Ghana, Adidas","Accra, Ghana",contact@accrasports.com,+233 30 876543,www.accrasports.com
148,Lusaka Football Branding,Club PR & Digital Marketing,Zambian Premier League,"MTN Zambia, Puma","Lusaka, Zambia",pr@lusakasports.com,+260 97 543876,www.lusakasports.com
149,Bamako Sports Connect,Football Branding & Sponsorships,Mali Premier League,"Orange Mali, Nike","Bamako, Mali",support@bamakosports.com,+223 79 678543,www.bamakosports.com
150,Windhoek Football PR,Football Sponsorship & Branding,Namibian Premier League,"MTC Namibia, Adidas","Windhoek, Namibia",info@windhoeksports.com,+264 81 765432,www.windhoeksports.com
151,Lomé Football PR,Athlete PR & Sponsorship Activation,Togo Premier League,"Moov Togo, Puma","Lomé, Togo",info@lomesportspr.com,+228 92 345678,www.lomesportspr.com
152,Banjul Media Hub,Club PR & Digital Marketing,Gambia Football Federation,"Africell Gambia, Adidas","Banjul, Gambia",contact@banjulmedia.com,+220 77 654321,www.banjulmedia.com
153,Nouakchott PR Solutions,Football Sponsorship & PR,Mauritania Premier League,"Mauritel, Puma","Nouakchott, Mauritania",pr@nouakchottpr.com,+222 45 987654,www.nouakchottpr.com
154,Juba Sports Branding,Football Sponsorship & Branding,South Sudan Premier League,"MTN South Sudan, Adidas","Juba, South Sudan",support@jubasportsbranding.com,+211 92 345678,www.jubasportsbranding.com
